"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Delete exercise","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Exercises","",""
"","13","Get user me","LMS service","2026-07-19","passed","2026-07-19","Get entity","Users","",""
"","10","Get file","LMS service","2026-07-19","passed","2026-07-19","Get entity","Files","",""
"","255","Get courses","LMS service","2026-07-19","passed","2026-07-19","Get entities","Courses","",""
"","12","Get exercise","LMS service","2026-07-19","passed","2026-07-19","Get entity","Exercises","",""
"","251","Login with correct email and password","LMS service","2026-07-19","passed","2026-07-19","Login","Authentication","",""
"","266","Update exercise","LMS service","2026-07-19","passed","2026-07-19","Update entity","Exercises","",""
"","256","Delete file","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Files","",""
"","14","Create file","LMS service","2026-07-19","passed","2026-07-19","Create entity","Files","",""
"","244","Get exercises","LMS service","2026-07-19","passed","2026-07-19","Get entities","Exercises","",""
"","500","Attempt to create user with email: gmail.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","13","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","466","Attempt to create user with email: example.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","22","Create course","LMS service","2026-07-19","passed","2026-07-19","Create entity","Courses","",""
"","251","Create exercise","LMS service","2026-07-19","passed","2026-07-19","Create entity","Exercises","",""
"","249","Attempt to create user with email: mail.ru","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","27","Update course","LMS service","2026-07-19","passed","2026-07-19","Update entity","Courses","",""
"","241","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","234","Get file with incorrect file id","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
