"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get exercise","LMS service","2026-07-18","passed","2026-07-18","Get entity","Exercises","",""
"","294","Get courses","LMS service","2026-07-18","passed","2026-07-18","Get entities","Courses","",""
"","286","Attempt to create user with email: example.com","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","555","Attempt to create user with email: mail.ru","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","14","Get user me","LMS service","2026-07-18","passed","2026-07-18","Get entity","Users","",""
"","293","Delete file","LMS service","2026-07-18","passed","2026-07-18","Delete entity","Files","",""
"","290","Delete exercise","LMS service","2026-07-18","passed","2026-07-18","Delete entity","Exercises","",""
"","290","Create exercise","LMS service","2026-07-18","passed","2026-07-18","Create entity","Exercises","",""
"","284","Login with correct email and password","LMS service","2026-07-18","passed","2026-07-18","Login","Authentication","",""
"","299","Update course","LMS service","2026-07-18","passed","2026-07-18","Update entity","Courses","",""
"","559","Attempt to create user with email: gmail.com","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","26","Create course","LMS service","2026-07-18","passed","2026-07-18","Create entity","Courses","",""
"","274","Create file with empty filename","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","17","Create file","LMS service","2026-07-18","passed","2026-07-18","Create entity","Files","",""
"","286","Get exercises","LMS service","2026-07-18","passed","2026-07-18","Get entities","Exercises","",""
"","264","Get file with incorrect file id","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","16","Create file with empty filename","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","22","Update exercise","LMS service","2026-07-18","passed","2026-07-18","Update entity","Exercises","",""
"","11","Get file","LMS service","2026-07-18","passed","2026-07-18","Get entity","Files","",""
