"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Create exercise","LMS service","2026-07-18","passed","2026-07-18","Create entity","Exercises","",""
"","556","Attempt to create user with email: example.com","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","17","Delete exercise","LMS service","2026-07-18","passed","2026-07-18","Delete entity","Exercises","",""
"","547","Attempt to create user with email: mail.ru","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","14","Get file","LMS service","2026-07-18","passed","2026-07-18","Get entity","Files","",""
"","294","Get courses","LMS service","2026-07-18","passed","2026-07-18","Get entities","Courses","",""
"","269","Create file with empty filename","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","13","Get exercise","LMS service","2026-07-18","passed","2026-07-18","Get entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","28","Create course","LMS service","2026-07-18","passed","2026-07-18","Create entity","Courses","",""
"","554","Login with correct email and password","LMS service","2026-07-18","passed","2026-07-18","Login","Authentication","",""
"","20","Create file with empty filename","LMS service","2026-07-18","passed","2026-07-18","Validate entity","Files","",""
"","17","Update exercise","LMS service","2026-07-18","passed","2026-07-18","Update entity","Exercises","",""
"","15","Get user me","LMS service","2026-07-18","passed","2026-07-18","Get entity","Users","",""
"","294","Delete file","LMS service","2026-07-18","passed","2026-07-18","Delete entity","Files","",""
"","286","Attempt to create user with email: gmail.com","LMS service","2026-07-18","passed","2026-07-18","Create entity","Users","",""
"","284","Get exercises","LMS service","2026-07-18","passed","2026-07-18","Get entities","Exercises","",""
"","299","Update course","LMS service","2026-07-18","passed","2026-07-18","Update entity","Courses","",""
"","21","Create file","LMS service","2026-07-18","passed","2026-07-18","Create entity","Files","",""
