"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","Get courses","LMS service","2026-07-19","passed","2026-07-19","Get entities","Courses","",""
"","303","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","12","Get exercise","LMS service","2026-07-19","passed","2026-07-19","Get entity","Exercises","",""
"","19","Create exercise","LMS service","2026-07-19","passed","2026-07-19","Create entity","Exercises","",""
"","309","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","316","Login with correct email and password","LMS service","2026-07-19","passed","2026-07-19","Login","Authentication","",""
"","332","Update course","LMS service","2026-07-19","passed","2026-07-19","Update entity","Courses","",""
"","303","Create file","LMS service","2026-07-19","passed","2026-07-19","Create entity","Files","",""
"","22","Create course","LMS service","2026-07-19","passed","2026-07-19","Create entity","Courses","",""
"","299","Get file with incorrect file id","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","645","Attempt to create user with email: gmail.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","17","Update exercise","LMS service","2026-07-19","passed","2026-07-19","Update entity","Exercises","",""
"","320","Attempt to create user with email: example.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","16","Delete exercise","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Exercises","",""
"","17","Delete file","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Files","",""
"","319","Get exercises","LMS service","2026-07-19","passed","2026-07-19","Get entities","Exercises","",""
"","10","Get file","LMS service","2026-07-19","passed","2026-07-19","Get entity","Files","",""
"","15","Get user me","LMS service","2026-07-19","passed","2026-07-19","Get entity","Users","",""
"","600","Attempt to create user with email: mail.ru","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
