"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","483","Login with correct email and password","LMS service","2026-07-19","passed","2026-07-19","Login","Authentication","",""
"","259","Update course","LMS service","2026-07-19","passed","2026-07-19","Update entity","Courses","",""
"","18","Create course","LMS service","2026-07-19","passed","2026-07-19","Create entity","Courses","",""
"","11","Get exercises","LMS service","2026-07-19","passed","2026-07-19","Get entities","Exercises","",""
"","487","Attempt to create user with email: example.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","12","Get exercise","LMS service","2026-07-19","passed","2026-07-19","Get entity","Exercises","",""
"","10","Get file","LMS service","2026-07-19","passed","2026-07-19","Get entity","Files","",""
"","15","Update exercise","LMS service","2026-07-19","passed","2026-07-19","Update entity","Exercises","",""
"","16","Delete file","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Files","",""
"","486","Attempt to create user with email: mail.ru","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","230","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","10","Get file with incorrect file id","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","251","Get courses","LMS service","2026-07-19","passed","2026-07-19","Get entities","Courses","",""
"","485","Attempt to create user with email: gmail.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","236","Create file","LMS service","2026-07-19","passed","2026-07-19","Create entity","Files","",""
"","5","Get user me","LMS service","2026-07-19","passed","2026-07-19","Get entity","Users","",""
"","15","Create exercise","LMS service","2026-07-19","passed","2026-07-19","Create entity","Exercises","",""
"","29","Delete exercise","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Exercises","",""
"","16","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
