"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Get file with incorrect file id","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","288","Delete exercise","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Exercises","",""
"","20","Update exercise","LMS service","2026-07-19","passed","2026-07-19","Update entity","Exercises","",""
"","18","Delete file","LMS service","2026-07-19","passed","2026-07-19","Delete entity","Files","",""
"","29","Create course","LMS service","2026-07-19","passed","2026-07-19","Create entity","Courses","",""
"","558","Attempt to create user with email: gmail.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","307","Update course","LMS service","2026-07-19","passed","2026-07-19","Update entity","Courses","",""
"","269","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","285","Get exercise","LMS service","2026-07-19","passed","2026-07-19","Get entity","Exercises","",""
"","533","Attempt to create user with email: mail.ru","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","271","Create file with empty filename","LMS service","2026-07-19","passed","2026-07-19","Validate entity","Files","",""
"","15","Get exercises","LMS service","2026-07-19","passed","2026-07-19","Get entities","Exercises","",""
"","15","Get user me","LMS service","2026-07-19","passed","2026-07-19","Get entity","Users","",""
"","267","Create file","LMS service","2026-07-19","passed","2026-07-19","Create entity","Files","",""
"","23","Create exercise","LMS service","2026-07-19","passed","2026-07-19","Create entity","Exercises","",""
"","556","Attempt to create user with email: example.com","LMS service","2026-07-19","passed","2026-07-19","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","2026-07-19","passed","2026-07-19","Login","Authentication","",""
"","296","Get courses","LMS service","2026-07-19","passed","2026-07-19","Get entities","Courses","",""
"","12","Get file","LMS service","2026-07-19","passed","2026-07-19","Get entity","Files","",""
